,UniqueID,,Course,
,10,,MATH251,
,10,,MATH253,
,10,,MATH271,
,10,,PHIL249,
,10,,PHIL279,
,10,,PHYS221,
,10,,PSYC205,
,10,,PSYC383,
,10,,SENG541,
,10,,STAT213,
,11,,ANTH201,
,11,,BIOL241,
,11,,CHEM201,
,11,,CHEM203,
,11,,CHEM351,
,11,,CHEM353,
,11,,CNST311,
,11,,ENGL231,
,11,,GNST300,
,11,,GNST300A,
,11,,GNST407,
,11,,INDG201,
,11,,INDG399,
,11,,MATH249,
,11,,MATH253,
,11,,PHYS211,
,11,,PHYS223,
,11,,PSYC312,
,11,,PSYC312A,
,11,,PSYC345,
,11,,PSYC351,
,11,,PSYC365,
,11,,PSYC369,
,11,,PSYC375,
,11,,PSYC437,
,11,,PSYC475,
,11,,PSYC478,
,11,,PSYC479,
,12,,AMAT217,
,12,,AMAT219,
,12,,AMAT307,
,12,,AMAT309,
,12,,AMAT413,
,12,,AMAT415,
,12,,CHEM201,
,12,,CHEM203,
,12,,CHEM331,
,12,,CHEM351,
,12,,CPSC231,
,12,,ECON209,
,12,,ENPE507,
,12,,ENPE521,
,12,,GLGY201,
,12,,GLGY203,
,12,,GLGY209,
,12,,GLGY311,
,12,,GLGY323,
,12,,GLGY337,
,12,,GLGY341,
,12,,GLGY373,
,12,,GLGY381,
,12,,GLGY423,
,12,,GLGY435,
,12,,GLGY443,
,12,,GLGY461,
,12,,GLGY463,
,12,,GLGY491,
,12,,GLGY589.02,
,12,,GLGY589.08,
,12,,GLGY593.02,
,12,,GLGY593.03,
,12,,GLGY593.06,
,12,,GLGY595.03,
,12,,GOPH355,
,12,,GOPH359,
,12,,GOPH375,
,12,,GOPH449,
,12,,GOPH453,
,12,,GOPH457,
,12,,GOPH547,
,12,,GOPH549,
,12,,GOPH551,
,12,,GOPH557,
,12,,GOPH559,
,12,,GRST205,
,12,,GRST209,
,12,,LATI201,
,12,,MATH251,
,12,,MATH331,
,12,,PHYS106,
,12,,PHYS221,
,12,,PHYS341,
,12,,PSYC205,
,12,,PSYC351,
,12,,PSYC353,
,12,,PSYC383,
,12,,RELS273,
,12,,SCIE311,
,12,,SOCI201,
,13,,BIOL231,
,13,,BIOL233,
,13,,BIOL307,
,13,,CHEM201,
,13,,CHEM203,
,13,,ENGL231,
,13,,ENGL235,
,13,,ENGL302,
,13,,ENGL302A,
,13,,ENGL354,
,13,,ENGL354A,
,13,,ENGL366,
,13,,ENGL366A,
,13,,ENGL430,
,13,,ENGL430A,
,13,,ENGL444,
,13,,ENGL444A,
,13,,ENGL480,
,13,,ENGL480A,
,13,,MATH249,
,13,,PHYS211,
,13,,POLI201,
,13,,POLI213,
,13,,POLI225,
,13,,POLI310,
,13,,POLI310A,
,13,,POLI321,
,13,,POLI343,
,13,,POLI371,
,13,,POLI381,
,13,,POLI427,
,13,,POLI428,
,13,,POLI441,
,13,,POLI597,
,13,,SPAN201,
,13,,SPAN203,
,13,,SPAN301,
,14,,ARHI201,
,14,,ENGL302,
,14,,ENGL312,
,14,,ENGL312A,
,14,,ENGL387,
,14,,ENGL430,
,14,,ENGL430A,
,14,,ENGL444,
,14,,ENGL444A,
,14,,ENGL492,
,14,,ENGL492A,
,14,,ENGL509,
,14,,ENGL999,
,14,,HTST347,
,14,,PHIL275,
,14,,PHIL329,
,15,,ACCT317,
,15,,ACCT323,
,15,,ARHI201,
,15,,ARHI203,
,15,,ARHI323,
,15,,ARHI357,
,15,,ART103,
,15,,ART103A,
,15,,ART104,
,15,,ART104A,
,15,,ART231,
,15,,ART233,
,15,,ART301,
,15,,ART331,
,15,,ART341,
,15,,ART343,
,15,,ART351,
,15,,ART353,
,15,,ART373,
,15,,ART377,
,15,,ART381,
,15,,ART383,
,15,,ART399,
,15,,ART481,
,15,,ART483,
,15,,ART499,
,15,,ART599,
,15,,BSEN291,
,15,,BSEN395,
,15,,COMS363,
,15,,CPSC203,
,15,,DRAM222,
,15,,DRAM222A,
,15,,EAST317,
,15,,ECON201,
,15,,ECON203,
,15,,ENGL231,
,15,,ENGL235,
,15,,FNCE317,
,15,,GLGY201,
,15,,GRST335,
,15,,HROD317,
,15,,HROD493,
,15,,HTST379,
,15,,ITAL201,
,15,,LING201,
,15,,MATH249,
,15,,MGIS317,
,15,,MGST391,
,15,,MGST493,
,15,,MGST495,
,15,,MGST559,
,15,,MKTG317,
,15,,OPMA317,
,15,,PLMA475,
,15,,PLMA477,
,15,,PLMA573,
,15,,PLMA579,
,15,,PLMA583,
,15,,PLMA587,
,15,,SGMA591,
,15,,STAT213,
,15,,STAT217,
,16,,ANTH311,
,16,,COMS363,
,16,,GEOG231,
,16,,GEOG307,
,16,,GEOG313,
,16,,GEOG317,
,16,,GEOG321,
,16,,GEOG339,
,16,,GEOG365,
,16,,GEOG391,
,16,,GEOG392,
,16,,GEOG417,
,16,,GEOG421,
,16,,GEOG429,
,16,,GEOG597,
,16,,GEOG599,
,16,,GLGY209,
,16,,INDG397,
,16,,PHIL345,
,17,,ACCT317,
,17,,BSEN395,
,17,,CEST313,
,17,,COMS363,
,17,,CPSC203,
,17,,ECON201,
,17,,ECON203,
,17,,ENGL239,
,17,,ENTI381,
,17,,ENTI401,
,17,,ENTI403,
,17,,GEOG211,
,17,,GEOG213,
,17,,GEOG231,
,17,,GEOG253,
,17,,GEOG305,
